Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000217305,ENSG00000101327,ENST00000217305,0.917,0.952,PredHel=0,0.795357,extr 30,0.938,P01213
ENSP00000217320,ENSG00000101342,ENST00000217320,0.111,0.043,PredHel=0,0.988894,"nucl 19.5, cyto_nucl 11.8333, extr 5, cyto 3,",0.941,A0PJX2
ENSP00000217386,ENSG00000101405,ENST00000217386,0.884,0.946,PredHel=0,0.651221,extr 30,0.917,P01178
ENSP00000217398,ENSG00000101417,ENST00000217398,0.265,0.12,PredHel=0,0.831231,"extr 27, cyto_nucl 2, nucl 1.5, cyto 1.5",0.918,B4DWH1
ENSP00000217423,ENSG00000101441,ENST00000217423,0.918,0.949,PredHel=0,0.292216,extr 31,0.927,P01036
ENSP00000354723,ENSG00000123569,ENST00000217926,0.393,0.233,PredHel=0,0.964515,"mito 19.5, mito_pero 11, extr 10",0.908,Q7Z2G1
ENSP00000218008,ENSG00000101892,ENST00000218008,0.114,0.036,PredHel=1,0.718965,"mito 11, cyto_nucl 9, nucl 7, cyto 7, E.R._mi",0.982,Q9UN42
ENSP00000218224,ENSG00000102103,ENST00000218224,0.117,0.058,PredHel=0,0.968025,"nucl 25, mito 6",0.917,O60828
ENSP00000218867,ENSG00000102683,ENST00000218867,0.101,0.39,PredHel=1,0.946492,"plas 22, extr_plas 13, E.R. 3, extr 2, lyso 2",0.901,Q13326
ENSP00000219097,ENSG00000091651,ENST00000219097,0.157,0.065,PredHel=0,0.646113,"nucl 15.5, cyto_nucl 13.1667, mito_nucl 10.33",0.901,Q9Y5N6
ENSP00000219204,ENSG00000102931,ENST00000219204,0.117,0.107,PredHel=0,0.978612,"cyto 17, cyto_nucl 15, nucl 9, extr 2, cysk 2",0.926,Q9Y2Y0
ENSP00000219235,ENSG00000102962,ENST00000219235,0.912,0.987,PredHel=1,0.0359269,extr 32,0.942,O00626
ENSP00000219548,ENSG00000103266,ENST00000219548,0.104,0.085,PredHel=0,0.607486,"cyto 23.5, cyto_nucl 16, nucl 5.5",0.923,Q9UNE7
ENSP00000220876,ENSG00000104435,ENST00000220876,0.149,0.125,PredHel=0,0.767714,"cyto 22.5, cyto_nucl 13, mito 5, nucl 2.5, E.",0.904,Q93045
ENSP00000221421,ENSG00000104826,ENST00000221421,0.925,0.98,PredHel=0,0.92103,extr 29,0.967,P01229
ENSP00000221480,ENSG00000104883,ENST00000221480,0.176,0.263,PredHel=0,0.994489,"extr 26, plas 2, nucl 1, mito 1, pero 1, lyso",0.92,Q96HA9
ENSP00000221498,ENSG00000104901,ENST00000221498,0.919,0.976,PredHel=1,0.699164,extr 31,0.936,Q9UK85
ENSP00000221515,ENSG00000104918,ENST00000221515,0.773,0.976,PredHel=0,0.420926,extr 32,0.925,Q9HD89
ENSP00000221847,ENSG00000105246,ENST00000221847,0.825,0.847,PredHel=0,0.979629,"extr 24, lyso 4, mito 3",0.957,Q14213
ENSP00000222032,ENSG00000105427,ENST00000222032,0.164,0.114,PredHel=0,0.977333,"extr 16, cyto_nucl 11, nucl 10, cyto 6",0.942,Q9BYD5
ENSP00000222305,ENSG00000105698,ENST00000222305,0.109,0.16,PredHel=0,0.908272,"nucl 31, cyto_nucl 17",0.944,Q15853
ENSP00000222402,ENSG00000078967,ENST00000222402,0.104,0.086,PredHel=0,0.741248,"cyto 20, cyto_nucl 16.5, nucl 5, extr 4",0.915,Q9Y2X8
ENSP00000222462,ENSG00000002745,ENST00000222462,0.539,0.979,PredHel=1,0.113777,extr 31,0.923,Q9UBV4
ENSP00000222547,ENSG00000105829,ENST00000222547,0.099,0.033,PredHel=1,0.977048,"cyto 11, mito 6, pero 6, mito_pero 6",0.923,O15155
ENSP00000222598,ENSG00000105880,ENST00000222598,0.107,0.037,PredHel=0,0.848064,nucl 32,0.934,P56178
ENSP00000222674,ENSG00000105954,ENST00000222674,0.588,0.935,PredHel=0,0.234426,extr 31,0.954,Q9HCQ7
ENSP00000222728,ENSG00000106006,ENST00000222728,0.105,0.103,PredHel=0,0.822219,nucl 32,0.954,P31267
ENSP00000222800,ENSG00000106077,ENST00000222800,0.24,0.042,PredHel=0,0.678564,"mito 17, cyto 9, nucl 6",0.936,Q8NFV4
ENSP00000223215,ENSG00000106484,ENST00000223215,0.342,0.835,PredHel=1,0.965005,"extr 21, lyso 4, E.R. 2, pero 2",0.947,Q5EB52
ENSP00000223271,ENSG00000106538,ENST00000223271,0.831,0.9,PredHel=0,0.749357,extr 31,0.971,Q99969
ENSP00000223324,ENSG00000106591,ENST00000223324,0.643,0.634,PredHel=0,0.252507,"extr 27, mito 2, pero 2, mito_pero 2",0.952,Q9BYC8
ENSP00000223858,ENSG00000107018,ENST00000223858,0.802,0.903,PredHel=0,0.952394,extr 32,0.92,NA
ENSP00000223864,ENSG00000107020,ENST00000223864,0.115,0.108,PredHel=1,0.590674,"cyto 18, cyto_nucl 15.3333, cyto_pero 10.5, n",0.917,Q9HBL7
ENSP00000224181,ENSG00000176919,ENST00000224181,0.748,0.891,PredHel=0,0.359854,"extr 21, pero 4, mito 3, golg 2, cyto_mito 2,",0.958,P07360
ENSP00000224605,ENSG00000107623,ENST00000224605,0.821,0.914,PredHel=0,0.71334,"extr 15, pero 6, E.R. 4, lyso 3, golg 3, cyto",0.925,NA
ENSP00000225245,ENSG00000006075,ENST00000225245,0.765,0.965,PredHel=0,0.758907,extr 32,0.96,NA
ENSP00000225525,ENSG00000213977,ENST00000225525,0.107,0.061,PredHel=0,0.990857,"cyto 19, cyto_nucl 12, mito 10",0.948,O14907
ENSP00000225831,ENSG00000108691,ENST00000225831,0.935,0.972,PredHel=0,0.0681067,extr 32,0.961,P13500
ENSP00000225842,ENSG00000108702,ENST00000225842,0.771,0.965,PredHel=0,0.189595,extr 31,0.906,P22362
ENSP00000225844,ENSG00000181374,ENST00000225844,0.876,0.953,PredHel=0,0.259614,extr 32,0.932,Q99616
ENSP00000225873,ENSG00000108733,ENST00000225873,0.119,0.162,PredHel=0,0.947165,"cyto_nucl 8, nucl 7.5, cyto 7.5, E.R. 6, pero",0.919,O00623
ENSP00000225992,ENSG00000108849,ENST00000225992,0.883,0.977,PredHel=0,0.615469,extr 30,0.921,P01298
ENSP00000226004,ENSG00000108861,ENST00000226004,0.106,0.092,PredHel=0,0.907166,"cyto 21.5, cyto_nucl 18, nucl 7.5",0.906,P51452
ENSP00000226218,ENSG00000109072,ENST00000226218,0.936,0.951,PredHel=0,0.2232,"extr 24, lyso 5",0.905,P04004
ENSP00000226279,ENSG00000004468,ENST00000226279,0.243,0.358,PredHel=1,0.804353,"cyto 17, plas 5.5, extr_plas 4.5, nucl 3, ext",0.919,P28907
ENSP00000227251,ENSG00000109846,ENST00000227251,0.183,0.14,PredHel=0,0.930244,"mito 18, cyto_nucl 5.5, cyto 5, nucl 4, pero ",0.935,P02511
ENSP00000227918,ENSG00000110484,ENST00000227918,0.872,0.933,PredHel=0,0.34812,extr 31,0.936,Q13296
ENSP00000228438,ENSG00000110852,ENST00000228438,0.244,0.929,PredHel=1,0.193823,extr 32,0.92,Q92478
ENSP00000228837,ENSG00000111241,ENST00000228837,0.316,0.736,PredHel=1,0.784519,"extr 19, mito 7, pero 3",0.938,P10767
ENSP00000229281,ENSG00000111678,ENST00000229281,0.17,0.153,PredHel=0,0.963366,"cyto 9.5, mito 9, cyto_nucl 8, nucl 5.5, extr",0.914,Q99622
ENSP00000229405,ENSG00000065029,ENST00000229405,0.142,0.11,PredHel=0,0.972375,"nucl 15.5, cyto_nucl 14.5, cyto 10.5, extr 5",0.912,F8W971
ENSP00000229595,ENSG00000111875,ENST00000229595,0.1,0.082,PredHel=0,0.623857,"cyto 15, cyto_nucl 13, nucl 7, mito 7",0.909,Q9Y294
ENSP00000230053,ENSG00000112309,ENST00000230053,0.402,0.968,PredHel=1,0.708154,"extr 14, golg 9, E.R. 8",0.93,Q9NPZ5
ENSP00000230480,ENSG00000112715,ENST00000230480,0.115,0.054,PredHel=0,0.637131,"extr 19, cyto 7, nucl 5",0.93,A2A2V4
ENSP00000231061,ENSG00000113140,ENST00000231061,0.939,0.91,PredHel=0,0.11621,"extr 26, cyto_mito 4",0.904,P09486
ENSP00000231449,ENSG00000113520,ENST00000231449,0.674,0.948,PredHel=0,0.423544,"extr 28, cyto 3",0.946,P05112
ENSP00000231454,ENSG00000113525,ENST00000231454,0.903,0.957,PredHel=0,0.953552,extr 30,0.946,P05113
ENSP00000233612,ENSG00000115271,ENST00000233612,0.116,0.15,PredHel=0,0.990065,"cyto 24, cyto_nucl 14.5, extr 4",0.921,H7BXD5
ENSP00000233813,ENSG00000115461,ENST00000233813,0.863,0.964,PredHel=0,0.503465,"extr 28, E.R. 3",0.932,P24593
ENSP00000233892,ENSG00000115540,ENST00000233892,0.103,0.076,PredHel=0,0.939875,"extr 12, cyto_nucl 11, cyto 10.5, nucl 6.5",0.951,Q9Y3A3
ENSP00000234347,ENSG00000196415,ENST00000234347,0.903,0.974,PredHel=0,0.287464,"extr 26, lyso 4",0.924,P24158
ENSP00000236709,ENSG00000118017,ENST00000236709,0.34,0.947,PredHel=1,0.408906,"extr 22, plas 3, lyso 3, E.R. 2",0.927,Q9UNA3
ENSP00000237380,ENSG00000118579,ENST00000237380,0.13,0.089,PredHel=0,0.958814,"cyto 16, cyto_nucl 13.5, nucl 9, extr 4",0.964,Q9H204
ENSP00000237837,ENSG00000118972,ENST00000237837,0.774,0.726,PredHel=0,0.681849,extr 30,0.959,Q9GZV9
ENSP00000238181,ENSG00000116977,ENST00000238181,0.124,0.23,PredHel=0,0.573688,"cyto 22, cyto_nucl 12.8333, cyto_plas 11.8333",0.937,H7BXD8
ENSP00000238633,ENSG00000119655,ENST00000238633,0.934,0.96,PredHel=0,0.944709,extr 30,0.938,J3KMY5
ENSP00000238682,ENSG00000119699,ENST00000238682,0.851,0.97,PredHel=1,0.338968,"extr 16, E.R. 5.5, E.R._golg 5, golg 3.5, per",0.912,P10600
ENSP00000239026,ENSG00000119969,ENST00000239026,0.118,0.13,PredHel=0,0.960873,"cyto 23, nucl 5, mito 2",0.9,F6XU50
ENSP00000239468,ENSG00000120337,ENST00000239468,0.165,0.57,PredHel=1,0.90802,"plas 17, extr_plas 13, extr 7, mito 5",0.913,NA
ENSP00000239849,ENSG00000120659,ENST00000239849,0.129,0.159,PredHel=1,0.853526,"plas 13.5, extr_plas 7.5, mito 7, E.R. 7, E.R",0.923,O14788
ENSP00000239940,ENSG00000070087,ENST00000239940,0.147,0.175,PredHel=0,0.230053,"extr 15, cyto 15",0.903,P35080
ENSP00000240618,ENSG00000213809,ENST00000240618,0.149,0.202,PredHel=1,0.778414,plas 29,0.942,P26718
ENSP00000242109,ENSG00000122548,ENST00000242109,0.137,0.092,PredHel=0,0.588671,"extr 20, cyto 9",0.927,NA
ENSP00000242152,ENSG00000122585,ENST00000242152,0.837,0.958,PredHel=1,0.779134,extr 31,0.924,P01303
ENSP00000242285,ENSG00000122705,ENST00000242285,0.115,0.065,PredHel=0,0.711675,"cyto 25.5, cyto_nucl 14.5, nucl 2.5",0.927,P09496
ENSP00000242719,ENSG00000123091,ENST00000242719,0.103,0.073,PredHel=0,0.956451,"extr 13, cyto 11.5, cyto_nucl 10, nucl 5.5",0.92,Q9Y3C5
ENSP00000243040,ENSG00000123349,ENST00000243040,0.11,0.115,PredHel=0,0.631964,"extr 14, cyto 14, mito 3",0.944,Q99471
ENSP00000243045,ENSG00000123353,ENST00000243045,0.129,0.662,PredHel=1,0.966841,"extr 19, pero 7, E.R. 2, plas 1, cyto 1, mito",0.942,Q53FV1
ENSP00000243562,ENSG00000090006,ENST00000243562,0.109,0.086,PredHel=0,0.265628,extr 30,0.95,F8WAA0
ENSP00000243639,ENSG00000204604,ENST00000243639,0.136,0.212,PredHel=0,0.782389,"extr 11, nucl 11, cyto 9",0.915,NA
ENSP00000243810,ENSG00000185404,ENST00000243810,0.1,0.035,PredHel=0,0.250717,"nucl 24.5, cyto_nucl 14.5, cyto 3.5",0.936,U5Y3L1
ENSP00000244217,ENSG00000124370,ENST00000244217,0.252,0.066,PredHel=0,0.922861,mito 32,0.907,Q96PE7
ENSP00000244241,ENSG00000124391,ENST00000244241,0.875,0.977,PredHel=0,0.303782,"extr 26, cyto 2, mito 2, cyto_mito 2",0.936,Q9P0M4
ENSP00000244777,ENSG00000188428,ENST00000244777,0.099,0.057,PredHel=0,0.506556,"cyto 15.5, cyto_nucl 9.5, extr 8, mito 5",0.936,G5E931
ENSP00000244926,ENSG00000124935,ENST00000244926,0.879,0.989,PredHel=0,0.0313378,extr 32,0.901,O95969
ENSP00000244930,ENSG00000124939,ENST00000244930,0.912,0.974,PredHel=0,0.0695783,extr 32,0.957,O75556
ENSP00000245304,ENSG00000125249,ENST00000245304,0.122,0.187,PredHel=0,0.0158857,"cyto 14.5, cyto_nucl 10, mito 8.5, E.R._mito ",0.901,P10114
ENSP00000245451,ENSG00000125378,ENST00000245451,0.79,0.966,PredHel=0,0.0631239,"extr 19, E.R. 7, golg 4",0.947,P12644
ENSP00000245543,ENSG00000125449,ENST00000245543,0.143,0.172,PredHel=0,0.98835,"nucl 14.5, cyto_nucl 13, cyto 8.5, extr 8",0.906,Q9H6L4
ENSP00000245903,ENSG00000125726,ENST00000245903,0.261,0.835,PredHel=1,0.957851,"extr 24, plas 7",0.949,P32970
ENSP00000246020,ENSG00000125823,ENST00000246020,0.728,0.919,PredHel=0,0.599353,extr 31,0.966,Q9H114
ENSP00000246533,ENSG00000126247,ENST00000246533,0.191,0.344,PredHel=0,0.103979,"cyto 15, cyto_nucl 12.5, nucl 6, mito 4.5, ex",0.928,P04632
ENSP00000246792,ENSG00000126458,ENST00000246792,0.107,0.052,PredHel=0,0.428907,"nucl 25, cyto_nucl 17.5, cyto 6",0.923,P10301
ENSP00000246896,ENSG00000126550,ENST00000246896,0.913,0.92,PredHel=0,0.498454,extr 32,0.977,P15515
ENSP00000246912,ENSG00000108788,ENST00000246912,0.109,0.056,PredHel=0,0.965412,nucl 32,0.927,Q9UH92
ENSP00000247140,ENSG00000102103,ENST00000247140,0.117,0.042,PredHel=0,0.978666,"mito 17, cyto 6.5, cyto_nucl 6, nucl 4.5, ext",0.955,O60828
ENSP00000247219,ENSG00000182521,ENST00000247219,0.139,0.117,PredHel=0,0.931675,nucl 30,0.914,Q6SJ96
ENSP00000247977,ENSG00000127452,ENST00000247977,0.138,0.389,PredHel=0,0.263033,"extr 14, mito 7, extr_plas 7, nucl 6",0.922,Q9NXK8
ENSP00000248984,ENSG00000128254,ENST00000248984,0.111,0.092,PredHel=1,0.498808,"cyto 13, cyto_nucl 12, extr 11, nucl 7",0.915,NA
ENSP00000249005,ENSG00000128274,ENST00000249005,0.157,0.32,PredHel=1,0.982202,"mito 17.5, cyto_mito 11, cyto 3.5, plas 3, nu",0.949,Q9NPC4
ENSP00000249501,ENSG00000128710,ENST00000249501,0.2,0.2,PredHel=0,0.692109,nucl 32,0.912,P28358
ENSP00000355354,ENSG00000129194,ENST00000250055,0.111,0.186,PredHel=0,0.978169,"nucl 25.5, cyto_nucl 17, cyto 5.5",0.926,O60248
ENSP00000250151,ENSG00000129277,ENST00000250151,0.908,0.967,PredHel=1,0.717461,extr 32,0.948,NA
ENSP00000250340,ENSG00000105472,ENST00000250340,0.741,0.937,PredHel=0,0.740552,"mito 13, extr 9, cyto_mito 9, cyto 4.5, extr_",0.902,"Q9Y240, A0A0A6YY95"
ENSP00000250352,ENSG00000186474,ENST00000250352,0.271,0.186,PredHel=0,0.89688,"extr 19, mito 8, cyto 3",0.904,NA
ENSP00000250378,ENSG00000092009,ENST00000250378,0.911,0.972,PredHel=0,0.718755,extr 31,0.95,P23946
ENSP00000250971,ENSG00000254647,ENST00000250971,0.891,0.973,PredHel=0,0.955087,extr 32,0.974,P01308
ENSP00000252453,ENSG00000130173,ENST00000252453,0.903,0.967,PredHel=0,0.884951,"extr 25, mito 5",0.92,Q6UXH0
ENSP00000252490,ENSG00000234906,ENST00000252490,0.825,0.948,PredHel=0,0.57088,extr 32,0.952,A0A024R0T9
ENSP00000252491,ENSG00000130208,ENST00000252491,0.784,0.957,PredHel=0,0.0276468,extr 32,0.939,NA
ENSP00000252510,ENSG00000112584,ENST00000252510,0.126,0.377,PredHel=0,0.502763,"cyto 10.5, cyto_nucl 8, extr_plas 6, plas 5.5",0.916,NA
ENSP00000252576,ENSG00000186010,ENST00000252576,0.115,0.069,PredHel=1,0.875061,"mito 22, nucl 7",0.906,NA
ENSP00000252587,ENSG00000060566,ENST00000252587,0.158,0.185,PredHel=0,0.898115,"nucl 31.5, cyto_nucl 16.5",0.954,NA
ENSP00000252723,ENSG00000130427,ENST00000252723,0.883,0.969,PredHel=1,0.732805,extr 31,0.912,P01588
ENSP00000252809,ENSG00000130513,ENST00000252809,0.835,0.928,PredHel=0,0.941643,"extr 25, cyto_pero 4, cyto 3.5",0.902,Q99988
ENSP00000252813,ENSG00000130517,ENST00000252813,0.098,0.04,PredHel=0,0.694885,"extr 14, cyto 9.5, mito 6, cyto_nucl 5.5",0.909,Q9NXJ5
ENSP00000253513,ENSG00000131203,ENST00000253513,0.101,0.062,PredHel=0,0.90644,"cyto 22.5, cyto_nucl 15, nucl 6.5",0.909,J3KN03
ENSP00000253789,ENSG00000131470,ENST00000253789,0.193,0.068,PredHel=0,0.819311,"cyto 14.5, cyto_nucl 14, nucl 12.5, mito 4",0.901,Q9P2W1
ENSP00000254231,ENSG00000131914,ENST00000254231,0.114,0.137,PredHel=0,0.853843,"extr 14, cyto 10, nucl 5, cyto_pero 5, cyto_p",0.964,Q9H9Z2
ENSP00000254765,ENSG00000132429,ENST00000254765,0.109,0.403,PredHel=3,0.703125,plas 31,0.953,Q9HBV1
ENSP00000254850,ENSG00000161944,ENST00000254850,0.152,0.291,PredHel=1,0.473073,"plas 23, extr_plas 14, extr 3, nucl 3",0.905,P07307
ENSP00000254908,ENSG00000132570,ENST00000254908,0.356,0.041,PredHel=0,0.775507,"mito 25, cyto 5.5, cyto_nucl 3.5",0.907,Q9H0N5
ENSP00000255836,ENSG00000133466,ENST00000255836,0.142,0.219,PredHel=0,0.25229,"extr 14, cyto_nucl 10.5, nucl 8, cyto 7, extr",0.919,NA
ENSP00000256078,ENSG00000133703,ENST00000256078,0.119,0.196,PredHel=0,0.0478197,"cyto 18.5, cyto_nucl 12.5, mito 9, nucl 3.5",0.92,P01116
ENSP00000256196,ENSG00000133818,ENST00000256196,0.134,0.046,PredHel=0,0.622454,"cyto 23.5, cyto_nucl 13, mito 6",0.925,P62070
ENSP00000444659,ENSG00000254999,ENST00000256463,0.102,0.109,PredHel=0,0.800909,"extr 16, cyto 15.5, cyto_nucl 8.5",0.906,NA
ENSP00000256496,ENSG00000134108,ENST00000256496,0.293,0.37,PredHel=0,0.271589,"cyto 16, cyto_nucl 13, nucl 6, extr 4, mito 4",0.936,Q9NVJ2
ENSP00000256585,ENSG00000134193,ENST00000256585,0.868,0.864,PredHel=0,0.407745,extr 29,0.918,Q9BYZ8
ENSP00000256680,ENSG00000134285,ENST00000256680,0.916,0.968,PredHel=0,0.693466,extr 30,0.915,J3KN11
ENSP00000257696,ENSG00000135245,ENST00000257696,0.453,0.966,PredHel=1,0.933749,extr 32,0.932,Q9Y5L2
ENSP00000257765,ENSG00000135314,ENST00000257765,0.125,0.294,PredHel=0,0.983364,"extr 13, cyto_nucl 10, nucl 9.5, cyto 7.5",0.902,Q4VXA5
ENSP00000257776,ENSG00000135324,ENST00000257776,0.101,0.099,PredHel=1,0.919572,"plas 18.5, extr_plas 10, mito 7, cyto 2, E.R.",0.978,Q96G30
ENSP00000257831,ENSG00000135373,ENST00000257831,0.103,0.092,PredHel=0,0.495381,"cyto 23, extr 4, mito 3",0.914,Q9NZC4
ENSP00000257848,ENSG00000037897,ENST00000257848,0.106,0.022,PredHel=0,0.859226,"nucl 20, cyto_nucl 15, extr 6, cyto 4",0.925,Q9UBP6
ENSP00000257868,ENSG00000135414,ENST00000257868,0.833,0.959,PredHel=0,0.169919,"extr 23, E.R. 5, lyso 4",0.909,O95390
ENSP00000258439,ENSG00000135956,ENST00000258439,0.156,0.062,PredHel=3,0.559731,"mito 6, pero 6, mito_pero 6, nucl 5.5, E.R._m",0.925,O75204
ENSP00000258443,ENSG00000135960,ENST00000258443,0.619,0.764,PredHel=1,0.966967,"extr 17.5, extr_plas 11, plas 3.5, cyto 3.5, ",0.95,Q9UNE0
ENSP00000258776,ENSG00000136275,ENST00000258776,0.67,0.951,PredHel=0,0.23091,"extr 20, mito 8, cyto_mito 8, cyto 4",0.934,NA
ENSP00000259037,ENSG00000136521,ENST00000259037,0.338,0.126,PredHel=1,0.438101,"mito 26.5, cyto_mito 14, nucl 2",0.926,O43674
ENSP00000259206,ENSG00000136689,ENST00000259206,0.105,0.069,PredHel=0,0.235452,"cyto 16.5, cyto_nucl 11.5, extr 8, nucl 5.5",0.923,P18510
ENSP00000259229,ENSG00000136710,ENST00000259229,0.203,0.473,PredHel=0,0.941658,"cyto_nucl 16.5, cyto 14.5, nucl 13.5",0.921,Q96NT0
ENSP00000259631,ENSG00000213927,ENST00000259631,0.874,0.966,PredHel=0,0.396358,extr 30,0.918,Q9Y4X3
ENSP00000259915,ENSG00000204531,ENST00000259915,0.153,0.161,PredHel=0,0.90186,nucl 32,0.963,Q01860
ENSP00000259988,ENSG00000137440,ENST00000259988,0.853,0.931,PredHel=0,0.0868908,extr 32,0.914,NA
ENSP00000260276,ENSG00000137720,ENST00000260276,0.251,0.111,PredHel=0,0.439883,"mito 15, extr 7, cyto 6.5, cyto_pero 4",0.962,Q9H5F2
ENSP00000454143,ENSG00000255346,ENST00000260364,0.128,0.066,PredHel=7,0.666307,plas 29,0.919,Q96PH1
ENSP00000260447,ENSG00000137880,ENST00000260447,0.128,0.134,PredHel=0,0.990527,"cyto 18, extr 6, nucl 5",0.963,P30047
ENSP00000260953,ENSG00000138382,ENST00000260953,0.1,0.144,PredHel=0,0.598969,"cyto 18, cyto_nucl 11.3333, cyto_mito 11.3333",0.941,Q9NRN9
ENSP00000261197,ENSG00000111728,ENST00000261197,0.191,0.344,PredHel=1,0.952564,"mito 16, extr 10, plas 3",0.98,Q92185
ENSP00000261263,ENSG00000080371,ENST00000261263,0.238,0.088,PredHel=0,0.722161,"cyto 15, extr 13, mito 4",0.904,Q9UL25
ENSP00000261267,ENSG00000090382,ENST00000261267,0.857,0.939,PredHel=0,0.0441812,extr 32,0.906,P61626
ENSP00000261292,ENSG00000101670,ENST00000261292,0.689,0.935,PredHel=0,0.523161,"extr 20, nucl 3.5, cyto_nucl 3, lyso 3, plas ",0.905,Q9Y5X9
ENSP00000261340,ENSG00000069493,ENST00000261340,0.122,0.254,PredHel=1,0.844559,plas 31,0.947,Q9UHP7
ENSP00000261499,ENSG00000108641,ENST00000261499,0.459,0.676,PredHel=0,0.989,"extr 23, nucl 5.5, cyto_nucl 3.5",0.95,Q9UPM9
ENSP00000261826,ENSG00000089041,ENST00000261826,0.113,0.287,PredHel=1,0.775866,"plas 11, cyto 9.5, cyto_mito 6.5, extr 6, mit",0.914,J3KN30
